word,On Time (Early),Overdue (Late),log_ratio
visible,3.626096396677258e-5,3.479323740484806e-5,-0.05961035482179062
reinspection,2.21103438821784e-5,2.1178492333385777e-5,-0.06212157397784038
pole,2.2596771447586325e-4,2.1632317169101184e-4,-0.06292845041995183
ordered,1.9014895738673424e-5,1.815299342861638e-5,-0.06692256024166157
district,7.959723797584224e-5,7.563747261923491e-5,-0.07361721281567002
ongoing,5.262261843958459e-5,4.9920731928695044e-5,-0.07604395021020985
recent,4.156744649849539e-5,3.9331485762002156e-5,-0.07976943979726508
converted,2.0783723249247697e-5,1.9665742881001078e-5,-0.07976943979726508
covered,2.0783723249247697e-5,1.9665742881001078e-5,-0.07976943979726508
board,2.5647998903326944e-5,2.420399123815517e-5,-0.08360130138829205
locked,2.5647998903326944e-5,2.420399123815517e-5,-0.08360130138829205
free,4.9969377173723185e-5,4.6895233023925646e-5,-0.09160295828903241
case,0.11006484963860642,0.10314228316249349,-0.09371791613134493
notification,1.945710261631699e-5,1.815299342861638e-5,-0.10008942417686091
best,6.986868666768375e-5,6.504822645254203e-5,-0.103136299735725
action,3.581875708912901e-5,3.328048795246336e-5,-0.10603869050804732
c,5.7044687216020273e-5,5.2946230833464435e-5,-0.10756454473900758
mantles,1.8970675050909065e-4,1.75478936476625e-4,-0.11247314863269328
arm,3.272330894562403e-5,3.0254989047693966e-5,-0.11314557700230725
f,2.2994757637465535e-5,2.1178492333385777e-5,-0.11870510234420785
leak,1.813048198338629e-5,1.664024397623168e-5,-0.12374069224150638
graffiti,8.485949981980069e-4,7.745277196209655e-4,-0.1317593024561
capital,1.989930949396056e-5,1.815299342861638e-5,-0.1325109018692384
pedestrians,4.156744649849539e-5,3.7818736309617454e-5,-0.13635296816363265
blocked,2.8301240169188352e-5,2.571674069053987e-5,-0.13815746501038054
people,2.8301240169188352e-5,2.571674069053987e-5,-0.13815746501038054
walked,2.1668137004534833e-5,1.9665742881001078e-5,-0.13989043223483594
bad,1.3841075270243678e-4,1.2555820454792995e-4,-0.14059972184641353
went,8.534592738520863e-5,7.715022207161962e-5,-0.1456520015573047
blown,3.183889519033689e-5,2.8742239595309267e-5,-0.1476177942594466
food,1.3443089080364466e-4,1.2101995619077586e-4,-0.15161972481694283
photo,1.1939585696376336e-4,1.0740521111931358e-4,-0.15268878380686854
change,1.8572688861029855e-5,1.664024397623168e-5,-0.15850611040218285
grade,1.8572688861029855e-5,1.664024397623168e-5,-0.15850611040218285
unshoveled,1.419484077235853e-4,1.2707095400031466e-4,-0.15973237060426246
near,3.051227455740619e-5,2.722949014292457e-5,-0.16421976159657647
avenue,2.0341516371604127e-5,1.815299342861638e-5,-0.16421976159657647
work,6.283759731315101e-4,5.56691798477569e-4,-0.174749189446487
stated,9.24212374275057e-5,8.16884704287737e-5,-0.1780919361781339
ve,2.9185653924475488e-5,2.571674069053987e-5,-0.18255158436883387
first,7.561737607705012e-5,6.656097590492672e-5,-0.1840412025093204
post,4.643172215257464e-5,4.084423521438685e-5,-0.18497832176337403
concrete,4.820054966314891e-5,4.2356984666771553e-5,-0.18644970898004196
cable,3.272330894562403e-5,2.8742239595309267e-5,-0.18714615844608418
soon,5.173820468429746e-5,4.5382483571540944e-5,-0.189094430235606
know,9.861213371451567e-5,8.62267187859278e-5,-0.19363019201628287
weekly,2.0783723249247697e-5,1.815299342861638e-5,-0.19524665721720108
close,8.490372050756505e-5,7.412472316685021e-5,-0.19587296286666783
asked,2.255255075982197e-5,1.9665742881001078e-5,-0.19760593009112326
ago,2.609020578097051e-5,2.2691241785770472e-5,-0.20137276001404253
construction,4.298250850695481e-4,3.7364911473902046e-4,-0.20206557828182306
investigation,5.5718066583089564e-5,4.840798247631034e-5,-0.20290022976063635
design,7.031089354532731e-5,6.050997809538793e-5,-0.21657516665771284
r,3.183889519033689e-5,2.722949014292457e-5,-0.22562030626071963
feet,1.768827510574272e-5,1.5127494523846983e-5,-0.22562030626071963
dog,4.598951527493107e-5,3.9331485762002156e-5,-0.22562030626071983
bike,4.2451860253782526e-5,3.630598685723276e-5,-0.22562030626071983
parts,2.1225930126891263e-5,1.815299342861638e-5,-0.22562030626071983
st,6.659635577312134e-4,5.687937940966466e-4,-0.22753750925501057
bpd,6.986868666768375e-5,5.899722864300323e-5,-0.24399883557557467
receive,9.861213371451567e-5,8.32012198811584e-5,-0.24516049265636505
locations,2.8743447046831918e-5,2.420399123815517e-5,-0.24798811928917427
faulty,2.5205792025683374e-5,2.1178492333385777e-5,-0.2511553983678573
btd,5.226885293746974e-4,4.386973411915625e-4,-0.25272553642331774
dogs,2.1668137004534833e-5,1.815299342861638e-5,-0.2553676496547719
revisit,2.1668137004534833e-5,1.815299342861638e-5,-0.2553676496547719
foundation,1.989930949396056e-5,1.664024397623168e-5,-0.2580417839530974
library,1.813048198338629e-5,1.5127494523846983e-5,-0.26124421599144126
investigate,7.075310042297087e-5,5.899722864300323e-5,-0.26214618228583386
install,9.286344430514928e-5,7.715022207161962e-5,-0.26744048195534675
pulled,3.095448143504976e-5,2.571674069053987e-5,-0.267440481955347
hill,4.2009653376138956e-5,3.479323740484806e-5,-0.27191395853465467
coming,5.483365282780243e-5,4.5382483571540944e-5,-0.27292602103907665
field,5.129599780665389e-5,4.2356984666771553e-5,-0.2762463793306878
performed,5.5275859705446e-5,4.5382483571540944e-5,-0.28451399531428856
ac,4.0683032743208254e-5,3.328048795246336e-5,-0.2897506436804355
storm,2.0341516371604127e-5,1.664024397623168e-5,-0.2897506436804355
well,9.065240991693144e-5,7.412472316685021e-5,-0.29039056165095767
forward,5.925572160423811e-5,4.840798247631034e-5,-0.2917094967184922
section,2.609020578097051e-5,2.1178492333385777e-5,-0.3009084335649567
drain,2.432137827039624e-5,1.9665742881001078e-5,-0.3065403016442873
getting,2.432137827039624e-5,1.9665742881001078e-5,-0.3065403016442873
jurisdiction,3.935641211027755e-5,3.1767738500078665e-5,-0.3090363144483571
weeks,5.085379092901032e-5,4.084423521438685e-5,-0.3162228550416265
community,4.8686977228556836e-4,3.9028935871525215e-4,-0.31899180440183456
complete,1.1762702945318909e-4,9.379046604785129e-5,-0.3267064313750342
charge,1.9014895738673424e-5,1.5127494523846983e-5,-0.3299569660754555
department,6.496019032584014e-4,5.143348138107974e-4,-0.33684805067929813
plate,1.437172352341596e-4,1.1345620892885237e-4,-0.34109752368065566
issues,1.7290288915863507e-4,1.3614745071462283e-4,-0.3447920072383975
details,1.4990813152116955e-4,1.1799445728600646e-4,-0.3453595505348155
safe,2.9495198738825986e-4,2.3145066621485882e-4,-0.3497754147526532
comes,2.1225930126891263e-5,1.664024397623168e-5,-0.3511511883445788
fire,4.2894067131426096e-5,3.328048795246336e-5,-0.3661015298105503
additional,1.8440026797736784e-4,1.4219844852416164e-4,-0.3749350280277459
confirmed,2.1668137004534833e-5,1.664024397623168e-5,-0.3808985317386309
complaint,5.023470130030933e-4,3.85751110358098e-4,-0.38101398890654414
